probeName	baseMean	pvalue	padj	FC	signFCPosPadjFilter	signFCNegPadjFilter	MedianFilterOut	myfileName	entrezID	geneSymbol
A2M_12371	6831.19014372253	0.00142630013728407	0.607485620077318	1.51110024329944	0	0	0	PFDS0.2vsDMSO.txt	2	A2M
ABCC2_22	2632.65779128157	0.00831566617671971	0.607485620077318	-1.2991939049821	0	0	0	PFDS0.2vsDMSO.txt	1244	ABCC2
CAST_28247	136.188245193546	0.00909987538018679	0.607485620077318	-1.34516859324933	0	0	0	PFDS0.2vsDMSO.txt	831	CAST
CAV2_15304	126.55669464405	0.0080980934634752	0.607485620077318	-1.55985164853426	0	0	0	PFDS0.2vsDMSO.txt	858	CAV2
CD40_1129	27.9661463689434	0.00747886528572857	0.607485620077318	2.13198789028329	0	0	0	PFDS0.2vsDMSO.txt	958	CD40
CGN_24274	108.396561897944	0.00620283474074782	0.607485620077318	1.57677535223012	0	0	0	PFDS0.2vsDMSO.txt	57530	CGN
CHIC2_1295	89.9424019397248	0.00254777994767614	0.607485620077318	-1.7961973294714	0	0	0	PFDS0.2vsDMSO.txt	26511	CHIC2
CIB1_16624	403.872889456212	0.00399371812983282	0.607485620077318	1.27945903538833	0	0	0	PFDS0.2vsDMSO.txt	10519	CIB1
CTSD_1642	4579.210515848	0.00417152088653417	0.607485620077318	1.28837874845909	0	0	0	PFDS0.2vsDMSO.txt	1509	CTSD
DBNDD2_23171	62.8979857937799	0.00878029172228835	0.607485620077318	-1.55524110514719	0	0	0	PFDS0.2vsDMSO.txt	55861	DBNDD2
DLGAP5_1882	6.15892079358551	0.00400961038961253	0.607485620077318	-11.6673701453697	0	0	0	PFDS0.2vsDMSO.txt	9787	DLGAP5
FGFR2_2417	367.201482945619	0.00422411830241309	0.607485620077318	1.40482380352396	0	0	0	PFDS0.2vsDMSO.txt	2263	FGFR2
IGFBP1_3266	648.517863019403	0.00321084720815398	0.607485620077318	1.65095965276399	0	0	0	PFDS0.2vsDMSO.txt	3484	IGFBP1
IKBKG_3291	98.859258619498	0.00477908076103296	0.607485620077318	-1.80860273974328	0	0	0	PFDS0.2vsDMSO.txt	8517	IKBKG
KIAA0355_3561	49.4853255152203	0.00126124927061105	0.607485620077318	-1.94048615010284	0	0	0	PFDS0.2vsDMSO.txt	9710	KIAA0355
KRT7_10561	105.238553663053	0.00809128467553264	0.607485620077318	1.61446430120837	0	0	0	PFDS0.2vsDMSO.txt	3855	KRT7
MT1G_26225	186166.221302233	0.00157309729229376	0.607485620077318	1.45994833145691	0	0	0	PFDS0.2vsDMSO.txt	4495	MT1G
MT1H_4330	2344.75905614408	0.00353421741838877	0.607485620077318	1.5854492706898	0	0	0	PFDS0.2vsDMSO.txt	4496	MT1H
NOLC1_4626	44.6488339699295	0.00522234385004251	0.607485620077318	-2.08541256539934	0	0	0	PFDS0.2vsDMSO.txt	9221	NOLC1
NR1I2_12051	333.805641728995	0.00696792078811452	0.607485620077318	-1.37311508751215	0	0	0	PFDS0.2vsDMSO.txt	8856	NR1I2
PAK1_4912	66.5165839879408	0.00787003656204777	0.607485620077318	1.57435793565367	0	0	0	PFDS0.2vsDMSO.txt	5058	PAK1
POLE2_27697	10.2281687673364	0.00815964569688453	0.607485620077318	-3.10551630042242	0	0	0	PFDS0.2vsDMSO.txt	5427	POLE2
PPP2R5A_5364	36.4410859708833	0.00823401313683585	0.607485620077318	-1.75435299649768	0	0	0	PFDS0.2vsDMSO.txt	5525	PPP2R5A
RFC2_5805	22.1968953546184	0.00709528775783938	0.607485620077318	-1.86692839568441	0	0	0	PFDS0.2vsDMSO.txt	5982	RFC2
RPS4Y1_6010	128.599388685994	0.0034551737432558	0.607485620077318	-1.54167229993431	0	0	0	PFDS0.2vsDMSO.txt	6192	RPS4Y1
RSL24D1_11903	222.517107131462	0.00748532376842578	0.607485620077318	-1.27247732664785	0	0	0	PFDS0.2vsDMSO.txt	51187	RSL24D1
SLC1A4_6371	52.963848830791	0.00773401177257773	0.607485620077318	1.97413076246859	0	0	0	PFDS0.2vsDMSO.txt	6509	SLC1A4
SLC2A6_6447	23.5482438134365	0.00884469188295605	0.607485620077318	-2.31732130701557	0	0	0	PFDS0.2vsDMSO.txt	11182	SLC2A6
TIAM1_7096	31.9415948855384	0.00531840345422916	0.607485620077318	-2.04878592235941	0	0	0	PFDS0.2vsDMSO.txt	7074	TIAM1
TIMP3_18875	211.3826605662	0.000995100622631937	0.607485620077318	2.53796866211279	0	0	0	PFDS0.2vsDMSO.txt	7078	TIMP3
TSKU_7371	989.647281380151	0.000332617679064716	0.607485620077318	-1.52084882308561	0	0	0	PFDS0.2vsDMSO.txt	25987	TSKU
CCL2_1039	217.280599039982	0.00618200768063741	0.607485620077318	-2.40051787713715	0	0	0	PFDS0.2vsDMSO.txt	6347	CCL2
HIKESHI_17564	51.0933707245263	0.00607007742222044	0.607485620077318	-1.56218934389714	0	0	0	PFDS0.2vsDMSO.txt	51501	HIKESHI
ABCC2_26620	1544.65978968346	0.0145360055291519	0.696161131409549	-1.32171196403723	0	0	0	PFDS0.2vsDMSO.txt	1244	ABCC2
ACAA1_48	432.815865948979	0.016676244293721	0.696161131409549	-1.39367194905742	0	0	0	PFDS0.2vsDMSO.txt	30	ACAA1
AOAH_28306	13.5272659081459	0.0149633836913448	0.696161131409549	-2.54669895459509	0	0	0	PFDS0.2vsDMSO.txt	313	AOAH
ATP6AP1_14351	516.993427055336	0.0186443516809639	0.696161131409549	1.23552013629913	0	0	0	PFDS0.2vsDMSO.txt	537	ATP6AP1
CCL4_17107	77.9512484890886	0.0184094517620943	0.696161131409549	-3.20744789574432	0	0	0	PFDS0.2vsDMSO.txt	6351	CCL4
COPB2_1491	323.940471468043	0.0115310591766635	0.696161131409549	1.18987857320516	0	0	0	PFDS0.2vsDMSO.txt	9276	COPB2
CS_24503	64.8920725861045	0.0144799537706137	0.696161131409549	1.55003629401255	0	0	0	PFDS0.2vsDMSO.txt	1431	CS
EIF2S1_2085	504.548247876745	0.0138410230910879	0.696161131409549	-1.24164140714706	0	0	0	PFDS0.2vsDMSO.txt	1965	EIF2S1
FAM69A_27207	107.597336862807	0.013856837294799	0.696161131409549	1.39618998297184	0	0	0	PFDS0.2vsDMSO.txt	388650	FAM69A
HIST1H2BK_2955	156.596011551538	0.0139854268983368	0.696161131409549	-1.48784319977485	0	0	0	PFDS0.2vsDMSO.txt	85236	HIST1H2BK
HMGCS1_3030	28.7395645212002	0.0110150553033091	0.696161131409549	-2.12554105874135	0	0	0	PFDS0.2vsDMSO.txt	3157	HMGCS1
LSM1_3888	162.508343782313	0.0180924522767719	0.696161131409549	1.27457090443645	0	0	0	PFDS0.2vsDMSO.txt	27257	LSM1
MAP2K5_3975	25.7382520222646	0.0153993595445392	0.696161131409549	-1.73555538725286	0	0	0	PFDS0.2vsDMSO.txt	5607	MAP2K5
MT1X_4333	343.349739051283	0.0170078251615003	0.696161131409549	1.44402953953422	0	0	0	PFDS0.2vsDMSO.txt	4501	MT1X
MT2A_4334	13007.922367168	0.014316153176471	0.696161131409549	1.40629109998725	0	0	0	PFDS0.2vsDMSO.txt	4502	MT2A
NARFL_4450	51.9983625853528	0.0120538051783175	0.696161131409549	-1.50279509048714	0	0	0	PFDS0.2vsDMSO.txt	64428	NARFL
PPIE_5325	148.128503706921	0.0181633569699837	0.696161131409549	1.27439406365232	0	0	0	PFDS0.2vsDMSO.txt	10450	PPIE
PRKAA1_11642	414.000744494718	0.0172838279807992	0.696161131409549	1.20906053195943	0	0	0	PFDS0.2vsDMSO.txt	5562	PRKAA1
PSEN1_5495	315.310066781434	0.0145431095952504	0.696161131409549	-1.26367904944715	0	0	0	PFDS0.2vsDMSO.txt	5663	PSEN1
RALGDS_5721	8.12006176190261	0.011755125238324	0.696161131409549	-4.61479480381849	0	0	0	PFDS0.2vsDMSO.txt	5900	RALGDS
SCCPDH_6120	2184.82552236138	0.018500718194173	0.696161131409549	-1.15114237176363	0	0	0	PFDS0.2vsDMSO.txt	51097	SCCPDH
SLC47A1_6494	17.7249924549309	0.0176259654356495	0.696161131409549	-2.27781795114713	0	0	0	PFDS0.2vsDMSO.txt	55244	SLC47A1
SOS1_10682	90.122369999965	0.0157366271894457	0.696161131409549	1.35516169725146	0	0	0	PFDS0.2vsDMSO.txt	6654	SOS1
TNIP1_7262	191.702645046892	0.0183933773882527	0.696161131409549	-1.48044907781964	0	0	0	PFDS0.2vsDMSO.txt	10318	TNIP1
VTN_14427	4135.27851607382	0.0142054699347105	0.696161131409549	1.3528331945051	0	0	0	PFDS0.2vsDMSO.txt	7448	VTN
ZDHHC6_7833	51.348708236337	0.0166025246406725	0.696161131409549	-1.51344004028214	0	0	0	PFDS0.2vsDMSO.txt	64429	ZDHHC6
IGFBP1_10877	291.853551511714	0.0194178409214505	0.697018758724206	1.51693722209413	0	0	0	PFDS0.2vsDMSO.txt	3484	IGFBP1
ME1_16747	441.084036890409	0.0196165061465732	0.697018758724206	-1.39461944650306	0	0	0	PFDS0.2vsDMSO.txt	4199	ME1
MYO18A_4418	12.1894113600829	0.0192619997583902	0.697018758724206	-2.29576726934572	0	0	0	PFDS0.2vsDMSO.txt	399687	MYO18A
IGF1_25126	165.036155461918	0.0209162569840815	0.719976783373929	-1.50890082827743	0	0	0	PFDS0.2vsDMSO.txt	3479	IGF1
RRM2B_13340	317.197909808299	0.0205941014682501	0.719976783373929	-1.20130653927131	0	0	0	PFDS0.2vsDMSO.txt	50484	RRM2B
ADH5_132	878.281825733777	0.0266664247878862	0.732944173234268	1.20807665435859	0	0	0	PFDS0.2vsDMSO.txt	128	ADH5
AKAP8_195	157.884481781306	0.0227520120793148	0.732944173234268	-1.37236155817799	0	0	0	PFDS0.2vsDMSO.txt	10270	AKAP8
AMIGO2_19750	37.8380604313636	0.0283743180823908	0.732944173234268	-1.73596090733932	0	0	0	PFDS0.2vsDMSO.txt	347902	AMIGO2
CYP2B7P_28166	717.726375151817	0.0251187606602053	0.732944173234268	-1.51166331675087	0	0	0	PFDS0.2vsDMSO.txt	1556	CYP2B7P
DNAJC15_28381	347.095124231905	0.0217167690589847	0.732944173234268	1.22446598931145	0	0	0	PFDS0.2vsDMSO.txt	29103	DNAJC15
DSG2_1967	115.725338380962	0.0232711031410185	0.732944173234268	1.37949837116037	0	0	0	PFDS0.2vsDMSO.txt	1829	DSG2
EDEM1_2027	300.162826146918	0.0255850272428384	0.732944173234268	1.21346697001242	0	0	0	PFDS0.2vsDMSO.txt	9695	EDEM1
ERBB2_2205	279.814662357637	0.0270819848539837	0.732944173234268	1.26603294969665	0	0	0	PFDS0.2vsDMSO.txt	2064	ERBB2
H2AFV_27300	45.7641933360716	0.0281251391169847	0.732944173234268	1.49449681140945	0	0	0	PFDS0.2vsDMSO.txt	94239	H2AFV
KIAA0196_3558	461.473551553978	0.028612437084951	0.732944173234268	-1.13521900188005	0	0	0	PFDS0.2vsDMSO.txt	9897	KIAA0196
PHGDH_5113	156.424617548717	0.0258481051713893	0.732944173234268	1.35642249455185	0	0	0	PFDS0.2vsDMSO.txt	26227	PHGDH
PPP1CB_18519	1175.15195665831	0.0246583088881995	0.732944173234268	1.12439975444197	0	0	0	PFDS0.2vsDMSO.txt	5500	PPP1CB
PROS1_5451	1963.93214158538	0.0261141739559518	0.732944173234268	1.20092800288605	0	0	0	PFDS0.2vsDMSO.txt	5627	PROS1
PSMC3_25991	155.221606381529	0.0265394583902934	0.732944173234268	1.29271832171043	0	0	0	PFDS0.2vsDMSO.txt	5702	PSMC3
SH3GLB1_16515	254.470446220339	0.0275727742617915	0.732944173234268	1.20939350583094	0	0	0	PFDS0.2vsDMSO.txt	51100	SH3GLB1
SSR1_6784	75.4799475670475	0.0225136458081241	0.732944173234268	-1.36188848695222	0	0	0	PFDS0.2vsDMSO.txt	6745	SSR1
STXBP2_28380	89.6523650685062	0.025964352472695	0.732944173234268	1.32190642459899	0	0	0	PFDS0.2vsDMSO.txt	6813	STXBP2
TLR1_18640	6.22238584985574	0.0271524360964178	0.732944173234268	-3.7136009547537	0	0	0	PFDS0.2vsDMSO.txt	7096	TLR1
UBE2V2_7495	44.5998930436708	0.0268341045739251	0.732944173234268	-1.56538261458207	0	0	0	PFDS0.2vsDMSO.txt	7336	UBE2V2
USMG5_16099	239.670754709496	0.0278488471397909	0.732944173234268	-1.37851045752079	0	0	0	PFDS0.2vsDMSO.txt	84833	USMG5
EIF3C_28624	76.4537458904405	0.0236086205582082	0.732944173234268	1.46285098883569	0	0	0	PFDS0.2vsDMSO.txt	8663	EIF3C
